,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL1086978,4.7332636549,-28.8361450495,3,0,4,3,4,4,4,2,4,2,1,2,4,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087080,4.73990936197,-27.8463542058,3,3,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087081,4.32766295391,-27.8968551281,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087084,2.46710537789,-30.1078250267,3,3,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087085,2.25003374618,-29.4885877393,3,3,3,3,3,1,2,2,4,4,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087086,2.98025081797,-29.5743369917,3,3,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087183,1.94274909819,-29.5222644685,3,3,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087184,2.20943539209,-29.6991671281,3,3,3,3,3,2,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087185,1.57402867856,-31.8997138689,3,3,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087189,5.8812025647,-30.1942657858,3,3,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087462,4.5666454596,-29.1725050712,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087463,7.36992577034,-29.0093956669,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087699,6.70761830977,-29.5714528556,3,4,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087700,6.09329577596,-29.2316842002,3,4,4,3,3,1,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087701,4.45781843891,-29.3384941173,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087702,5.31491879555,-29.3544688804,3,4,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087708,6.74320754193,-28.8936857398,3,3,3,3,3,0,2,2,4,2,1,2,4,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087709,6.99948540716,-29.1422823052,3,3,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087710,6.90392155724,-29.2156218021,3,3,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087711,6.28244047915,-29.4309822166,3,4,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087714,5.96018002149,-31.1358819309,3,0,4,3,4,4,4,2,4,2,1,2,3,1,4,3,2,2,3,4,3,2,4,2
CHEMBL1087726,6.01712215079,-30.9655693295,3,4,3,3,3,1,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087727,5.54777118121,-30.9623000617,3,4,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087819,6.35109455556,-29.0836720873,3,3,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1087820,7.5552316352,-29.3216759786,3,3,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087869,3.87515093968,-30.0523366159,3,0,4,3,4,4,4,2,4,2,1,2,4,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087998,3.10611140202,-27.8639731737,3,3,4,3,3,0,4,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1087999,3.4584054787,-28.1028655094,3,4,4,3,3,0,4,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1088132,4.81964610125,-27.8793020952,3,3,4,3,3,0,4,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1088235,5.91423378541,-31.2828737963,3,0,4,3,4,4,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088236,8.09708920436,-30.9492068234,3,4,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088237,7.48936512643,-30.9851301647,3,3,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088247,6.99029872178,-30.9476778436,3,4,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1088259,2.38068508443,-29.7628546029,3,3,4,3,3,2,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088260,1.31925892839,-29.7257880249,3,3,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088261,1.83052350276,-29.6966549334,3,3,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088393,3.80759493643,-29.6628744093,3,3,3,3,3,2,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1088533,5.73892190415,-31.0063979852,3,3,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088665,6.72222353145,-30.9710257819,3,4,3,3,3,1,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088683,6.037475701,-30.3515641196,3,4,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1088710,4.50659349564,-27.9485589865,3,4,4,3,3,0,4,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1089131,6.66768883605,-21.8852331728,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1089427,6.72903701653,-21.0869060144,3,1,3,2,4,4,4,2,3,1,3,2,4,1,3,4,1,1,2,2,1,1,2,4
CHEMBL1089887,4.94317783202,-21.9296697413,3,1,2,2,4,4,4,3,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1089902,5.00521168683,-22.0224318069,3,1,2,2,4,4,4,3,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1089903,5.07977076051,-21.9269533861,2,1,2,2,0,4,4,3,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1089904,2.4448023364,-19.6788022183,2,1,2,2,0,1,3,3,3,1,3,2,1,2,2,2,1,1,2,2,1,1,2,4
CHEMBL1089905,2.45037592071,-19.7625924649,2,1,2,2,0,4,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1090241,2.49760648007,-19.6790838788,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1090242,2.42793723821,-19.7821210147,2,1,2,2,0,4,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1090243,2.45884615241,-19.6859080111,3,1,2,2,4,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1090461,18.1720035214,-21.3536943456,3,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1090489,6.5895252933,-21.2106635625,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1090575,13.4648255797,-1.3741172833,4,0,4,4,3,4,2,4,3,2,3,4,4,4,4,4,1,4,2,4,1,1,2,2
CHEMBL1090576,13.4765949237,-1.37311961066,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1090577,13.4629974333,-1.36957012093,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1090578,13.4515845357,-1.35494309682,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1090680,21.0478715699,-5.48566186643,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090681,21.0473144528,-5.49006569947,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090682,21.0529604476,-5.49468462967,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090683,21.0543978574,-5.49519468678,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090684,21.054398233,-5.4951947595,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090685,21.0543968956,-5.49519486224,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090686,21.0543968817,-5.49519496025,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090687,21.0543967111,-5.4951949886,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090688,21.0543970335,-5.49519486356,0,3,0,1,2,3,0,0,1,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0
CHEMBL1090810,5.04934401803,-21.4018939855,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1090811,6.58810595408,-21.2000260629,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1090812,6.6836806874,-21.186365165,3,0,3,2,0,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1091031,3.29493799728,-21.5759645821,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1091134,2.52032379646,-19.7020331784,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1091267,3.21806557558,-19.5703121584,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1091268,17.1366518218,-20.9754036441,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,1,1,2,2,1,1,2,4
CHEMBL1091640,18.1135242203,-21.2414193888,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1091641,18.1561317704,-21.2073170895,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1091937,18.08941897,-21.2359967149,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,1,1,2,2,1,1,2,4
CHEMBL1091938,18.2332324978,-21.3495354461,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,1,1,2,2,1,1,2,4
CHEMBL1091963,2.22736427765,-19.9418034314,2,1,2,2,0,4,3,3,3,1,3,2,1,1,2,1,1,1,2,2,4,1,2,4
CHEMBL1092270,13.7948092428,-1.97519317733,4,0,4,4,3,4,2,4,3,2,3,4,4,0,4,4,1,4,2,4,1,1,2,2
CHEMBL1092271,13.7438833839,-1.91431300727,4,0,4,4,3,4,2,4,3,2,3,4,4,4,4,4,1,4,2,4,1,1,2,2
CHEMBL1093018,13.4565450143,-1.3532603097,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1093201,2.24796066882,-19.9322903114,2,1,2,2,0,4,3,3,3,1,3,2,2,1,2,1,1,1,2,2,4,1,2,4
CHEMBL1093202,3.20586906008,-19.5725609641,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,1,1,2,2,1,1,2,4
CHEMBL1093203,13.4633311232,-1.36662527749,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1093270,13.787052634,-1.96244307466,4,0,4,4,3,4,2,4,3,2,3,4,4,0,4,4,1,4,2,4,1,1,2,2
CHEMBL1093271,13.7724091571,-1.92858809274,4,0,4,4,3,4,2,4,3,2,3,4,4,0,4,4,1,4,2,4,1,1,2,2
CHEMBL1093430,5.87823848381,-22.4405185511,3,1,3,2,4,4,4,2,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1093431,4.96227301757,-22.2013327376,3,1,2,2,4,4,4,3,3,1,3,2,4,1,3,4,1,1,2,2,1,1,2,4
CHEMBL1093432,5.00787040055,-22.0224604634,3,1,2,2,4,4,4,3,3,1,3,2,4,0,3,4,1,1,2,2,1,1,2,4
CHEMBL1093479,13.4742324534,-1.33626285937,4,0,4,4,3,4,2,4,3,2,3,4,4,1,4,4,1,4,2,4,1,1,2,2
CHEMBL1093910,22.1151548692,-1.98548261994,0,3,0,1,2,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094131,-3.70392821901,-18.2407342909,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,2,4,3,1,3,2,1,2
CHEMBL1094132,-3.79787679017,-20.0663179424,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,4,3,1,3,2,1,2
CHEMBL1094143,-1.57767675559,-18.2561141343,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,4,3,1,3,2,1,2
CHEMBL1094244,3.26135622345,-31.2550484785,3,3,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1094353,23.4023702091,-4.48541416786,0,3,0,1,2,3,0,0,1,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0
CHEMBL1094442,-0.705202807796,-17.9637229142,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,4,3,1,3,2,1,2
CHEMBL1094547,2.28799982813,-31.3646308442,3,3,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1094548,2.69837760917,-31.2659461006,3,3,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1094721,3.36819063311,-28.0254778264,3,3,4,3,3,0,4,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1094846,3.95631020499,-27.8634058302,3,3,3,3,3,0,2,4,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1094987,-0.0143304461953,-18.7799992241,3,1,3,4,4,4,4,4,3,2,3,4,4,1,3,4,2,2,3,4,3,2,1,2
CHEMBL1094994,7.71635476468,-9.26883258947,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094995,7.6734156288,-9.28533400767,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094996,7.62550183374,-9.29424011378,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094997,7.57543550179,-9.20776882096,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094998,8.40188555189,-8.69824845993,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1094999,8.38227825862,-8.70648143705,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1095000,8.35998848965,-8.76219809584,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1095001,8.37129571344,-8.57897233235,0,3,0,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHEMBL1095172,2.71128559913,-31.6126118308,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095487,5.20445512606,-28.0399833644,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095488,4.61785439165,-28.0484180275,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095489,2.95682154992,-27.869448652,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095490,2.50376890109,-28.0747211904,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095747,-4.00865394489,-20.0189685954,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,4,3,1,3,2,1,2
CHEMBL1095748,-4.18032313566,-20.0183800924,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,2,4,3,1,3,2,1,2
CHEMBL1095811,4.10789973061,-31.6611336116,3,3,3,3,3,4,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1095812,3.82972988093,-31.2070362891,3,4,3,3,3,0,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1095813,2.33898223703,-31.2310339416,3,4,3,3,3,0,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1095822,3.84752308194,-31.4123385776,3,3,3,3,3,0,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1095999,3.91568881357,-30.6564568378,3,0,4,3,4,4,4,2,4,2,1,2,4,1,4,3,2,2,3,4,3,2,4,2
CHEMBL1096078,-3.75450053189,-19.9719191121,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,4,3,1,3,2,1,2
CHEMBL1096134,7.44392069202,-31.8142271476,3,4,3,3,3,1,2,2,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1096409,0.820622704629,-18.4191421214,2,1,2,2,0,1,3,3,3,1,3,2,1,1,2,2,2,4,3,1,3,2,1,2
CHEMBL1096410,1.09861603753,-20.0140042363,2,1,2,2,0,1,3,3,3,1,3,2,1,3,2,2,2,2,3,1,3,2,1,2
