,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL105372,3.33518931305,-29.8457938529,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL106176,4.74019589788,-30.4660471213,3,3,3,3,2,4,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL1065,-22.501099875,40.7209483675,3,1,3,3,3,1,4,0,3,4,4,1,2,0,0,0,4,4,0,1,2,0,2,1
CHEMBL106794,2.47647771912,-28.7505313986,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL106911,2.24048585145,-29.2239467166,3,3,3,3,2,3,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL1076586,14.2165866285,19.537336703,0,1,2,2,2,3,2,3,3,2,0,1,2,0,1,0,2,4,2,1,3,4,1,2
CHEMBL107847,2.77678277391,-28.4813033703,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL107860,3.27334206864,-28.9512799225,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL107912,3.13793953727,-28.3244397382,3,3,3,3,2,3,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL1080155,15.9972804328,21.3514921932,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080389,15.5496935826,19.9226703437,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080556,15.0134692165,21.0153478486,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080735,14.3561775176,20.6901683965,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080755,16.3065713919,21.1057895353,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080907,14.4920061275,20.4600769774,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1080926,15.483798447,19.6921504067,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1081212,15.4358092922,21.2720458102,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1081254,16.0664533645,20.840050293,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1081648,18.0921621048,20.2114411904,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1081649,15.6241099537,21.3040273844,0,3,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1082209,14.326459451,20.8580921573,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1082210,15.644751674,19.7433183207,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1082211,14.7982394535,20.8938507243,0,1,2,2,2,3,2,3,3,2,0,1,2,3,1,0,2,4,2,1,3,4,1,2
CHEMBL1082452,-13.2610928474,-4.86591023178,4,0,4,4,1,0,3,1,2,0,2,3,2,0,2,4,2,1,2,4,3,0,2,4
CHEMBL1082467,-20.3203387326,-7.1091297932,4,0,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1082473,-19.7716975926,-22.4368306371,4,0,1,1,3,4,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1082474,-19.3082479306,-22.34969286,2,0,1,1,3,4,3,3,1,1,2,2,1,0,0,4,1,2,3,3,0,1,2,3
CHEMBL1082773,-18.2420083591,-7.38455919265,4,4,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1082795,-19.7018997195,-24.9404404435,2,3,1,1,3,4,3,3,1,1,2,2,1,0,0,4,1,2,3,3,0,1,2,3
CHEMBL1082822,-22.3544363692,-20.4908521278,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1083415,-16.3332276929,-6.61922777422,4,4,4,4,4,4,4,2,2,4,2,0,2,4,2,4,3,3,3,1,3,0,4,0
CHEMBL1083416,-18.1105482265,-8.52726378541,4,0,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1083449,-22.4560348133,-24.130453254,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1083725,-20.1436753386,-22.5437671524,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1083750,-21.8198278043,-20.1077274827,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1083751,-20.3367193866,-21.1682831408,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1084617,-19.8377870945,-23.7554438318,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1084618,-23.1772787714,-24.7565269871,2,3,1,1,3,4,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1084721,-18.7030620701,-9.26651959008,4,4,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1084865,-23.37754975,-24.3106283126,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1084895,-22.9930455781,-24.2943205469,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1084976,-17.9403201,-8.46368218813,4,4,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1085155,-22.4935573127,-21.1537207419,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1085615,-22.0334789638,-20.8864327215,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1085627,-21.050674625,-21.1872772242,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1085628,-21.3714687213,-20.5973497166,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1085854,-20.1111740454,-22.5437778531,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1086075,-21.4635100388,-20.1675921678,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1086316,-22.1452380205,-23.5933252367,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1086317,-22.2796314447,-22.1583010579,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1086507,-18.4935405013,-6.34966822844,4,0,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL1086555,-21.4669056825,-23.5361376145,2,3,1,1,3,2,3,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL10878,29.2990857947,4.14686373924,4,4,4,0,4,3,4,0,1,4,0,0,1,3,1,1,4,4,0,0,4,3,0,0
CHEMBL1090397,-35.4371422099,3.78101102292,0,3,3,2,2,0,2,3,4,4,4,4,1,4,0,4,3,3,4,4,4,4,4,4
CHEMBL1090398,-36.6441708363,7.46128824271,3,1,3,0,2,0,2,0,4,3,4,0,0,2,1,2,3,4,4,0,4,4,4,0
CHEMBL1090399,-33.6902291557,15.6607404893,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,4,1
CHEMBL1090400,-31.5807378097,17.1517439895,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,4,1
CHEMBL1090720,-31.3319312805,17.3462459457,4,4,4,0,4,4,4,0,4,0,4,0,4,3,4,2,3,3,4,0,4,4,4,0
CHEMBL1090757,-33.5609700173,15.9145638586,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,4,1
CHEMBL1091104,-32.9919922614,15.653093562,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,4,1
CHEMBL1091105,-35.1331302724,17.8441582604,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,1,1
CHEMBL1091106,-36.5308902684,16.0483890213,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,1,1
CHEMBL1091452,-36.6531419581,6.26234618491,3,3,3,4,2,0,2,3,4,3,4,4,2,2,0,0,3,4,4,4,4,4,4,4
CHEMBL1092029,-33.4853466134,15.6515357741,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,4,1
CHEMBL1092167,-33.8987026147,15.9645335758,3,4,4,4,3,2,4,4,4,0,4,1,1,4,4,2,3,3,4,1,4,3,4,1
CHEMBL1093698,-34.8778982954,15.8306924453,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,1,1
CHEMBL1093699,-35.3295193809,16.3737991586,3,4,4,4,3,2,4,4,4,0,4,1,0,3,1,2,3,3,4,1,4,3,1,1
CHEMBL109528,25.6143770657,22.2494259366,2,3,1,1,1,1,0,1,0,1,3,1,0,2,1,2,2,1,2,2,1,0,3,2
CHEMBL109548,26.3442716039,32.1292391679,2,1,2,3,1,1,0,1,2,0,3,3,0,2,1,2,2,1,2,2,1,0,3,3
CHEMBL109673,28.7586167207,34.9359301508,2,1,2,3,1,1,0,1,2,0,3,3,0,2,1,2,2,1,2,2,1,0,3,3
CHEMBL11,-4.50599692782,4.7311259661,1,1,0,0,3,3,3,0,2,2,1,1,3,2,2,1,0,0,1,0,2,2,1,1
CHEMBL110365,33.7512872246,11.1733904212,0,3,3,2,2,2,2,3,0,1,3,2,1,2,0,0,2,1,1,2,1,0,1,2
CHEMBL1108,31.22435063,31.8690242612,0,3,2,2,1,1,0,1,2,0,3,3,2,0,2,4,2,1,4,4,1,4,3,4
CHEMBL110847,25.2476149996,23.1768536037,2,3,1,1,1,1,0,1,0,1,3,1,0,2,1,2,2,1,2,2,1,0,3,3
CHEMBL110948,23.2060551752,39.0444357611,2,3,2,3,1,1,0,1,2,0,3,3,2,3,2,2,2,1,2,2,1,0,3,3
CHEMBL111189,29.6278042415,34.4005678688,2,1,2,3,1,1,0,1,2,0,3,3,0,2,1,2,2,1,2,2,1,0,3,3
CHEMBL1112,42.6198428447,11.0129531892,0,3,3,1,2,1,2,3,0,1,2,4,1,2,1,2,2,1,1,4,1,4,4,4
CHEMBL1113,-12.1953263562,8.40796455553,2,1,3,3,0,0,1,0,2,4,4,0,4,2,2,1,0,0,4,0,3,4,4,1
CHEMBL111352,22.4515127456,39.0392289251,2,3,2,3,1,1,0,1,2,0,3,3,2,3,2,2,2,1,2,2,1,0,3,3
CHEMBL111393,28.4476786109,36.8582189856,2,1,2,3,1,1,0,1,2,0,3,3,0,2,1,2,2,1,2,2,1,0,3,3
CHEMBL111509,28.6062703817,30.4562303164,2,1,2,3,1,1,0,1,2,0,3,3,0,2,1,2,2,1,2,2,1,0,3,4
CHEMBL1123,8.0891263421,35.0334566713,4,0,4,0,1,3,0,0,4,4,4,0,4,4,4,1,4,4,4,0,4,4,4,0
CHEMBL114012,45.5285094289,-17.2400226064,4,0,4,4,1,1,3,1,1,4,3,3,2,2,2,4,3,3,3,4,1,4,3,4
CHEMBL115769,23.6700829142,-13.8353812632,4,2,4,0,4,4,4,1,3,4,4,3,4,1,4,3,4,4,4,4,4,4,4,1
CHEMBL1162962,-19.6605515565,-4.39623318809,4,0,4,4,4,4,4,2,2,4,2,0,4,4,2,4,3,3,3,1,3,3,1,0
CHEMBL116448,44.2878773842,-16.3034022544,4,0,4,4,1,1,3,1,1,4,3,3,2,2,2,4,3,3,3,4,1,4,3,4
CHEMBL1170237,-27.6921290072,6.21302738855,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1172,-1.26602119905,0.401623555647,1,4,0,0,0,0,1,1,2,4,4,1,3,3,4,1,0,0,4,2,4,4,4,3
CHEMBL1172812,-28.7239241169,6.24758964018,4,3,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173331,-25.265453297,4.41857341802,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173333,-29.3343266379,6.3807542041,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173334,-29.3397097342,6.25749702822,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173408,-28.7935280399,4.29588323073,4,3,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173525,-26.0205827847,3.74316882876,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1173820,-29.2293050266,4.24231196964,4,2,4,4,4,4,4,4,3,4,0,1,4,0,4,4,4,4,4,2,4,2,0,1
CHEMBL1181770,-5.21399515412,-23.7780471965,3,1,4,4,3,2,0,4,2,4,4,4,1,0,1,0,4,4,4,4,1,4,4,4
CHEMBL119443,-22.0844987643,39.4756966296,3,1,3,3,3,2,4,0,3,4,4,1,2,0,0,0,4,4,0,1,2,0,2,1
CHEMBL119709,-21.309546774,14.2275341997,4,3,3,4,3,3,4,4,2,4,4,4,1,0,0,4,4,4,4,4,3,4,4,4
CHEMBL1201203,3.92622501783,-37.5910097821,3,1,4,4,1,1,0,4,2,4,4,4,3,2,3,1,4,4,4,4,2,4,4,4
CHEMBL1201216,22.416191871,8.64266246811,1,1,2,3,2,2,2,3,0,4,3,4,3,2,4,3,2,1,1,4,1,4,4,4
CHEMBL1201353,-4.62620633425,5.3193355527,1,1,0,0,3,3,3,0,2,4,1,0,3,2,3,1,4,4,4,0,2,4,4,0
CHEMBL1201356,-24.4618333423,44.6118764533,3,1,3,3,3,2,4,0,3,4,4,1,2,0,0,0,4,4,0,1,2,0,2,1
CHEMBL1201756,9.20265399964,-44.2233407345,4,4,4,4,3,4,3,4,2,4,3,1,3,2,3,1,0,0,4,0,2,4,4,2
CHEMBL120903,26.7226575226,37.1071800904,2,3,2,3,1,1,0,1,2,0,3,3,2,0,0,4,2,1,2,2,1,0,3,3
CHEMBL1214655,-7.16551755369,-27.419227395,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214656,-6.72877038379,-29.2033036756,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214657,-6.56079225731,-27.2072709941,2,3,2,2,2,3,2,3,2,0,2,3,2,4,2,4,2,1,2,1,3,0,1,3
CHEMBL1214658,-6.92927069488,-27.5767013254,2,3,2,2,2,3,2,3,2,0,2,3,2,4,2,4,2,1,2,1,3,0,1,3
CHEMBL1214659,-6.27008562012,-26.8520234831,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214729,-6.30368282975,-26.2514953188,2,3,2,2,1,2,0,1,2,0,2,3,2,4,2,4,2,4,2,4,3,0,4,4
CHEMBL1214730,-7.88822919906,-28.6123942313,2,3,2,2,2,3,2,3,2,0,2,3,2,4,2,4,2,1,2,4,3,0,1,3
CHEMBL1214731,-5.86613466476,-30.1186527833,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214732,-4.23811970314,-29.1403497938,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214733,-5.37209180583,-31.5548489397,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214806,-5.78502451404,-30.0853597739,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214807,-4.96238909938,-30.2606499758,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214808,-6.75891366081,-27.761260857,2,3,2,2,2,3,2,3,2,0,2,3,2,4,2,4,2,1,2,1,3,0,1,3
CHEMBL1214809,-5.85111441174,-29.0784916362,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,4,3,0,1,3
CHEMBL1214810,-6.0177783717,-31.2908805228,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,1,3,0,1,3
CHEMBL1214878,-6.33049667241,-30.8084400556,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214879,-6.71116510964,-32.1979398977,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214880,-6.8339510558,-32.8867263084,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214881,-5.96977352333,-33.5948342863,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,1,3,0,1,3
CHEMBL1214882,-5.93906116225,-32.5244059102,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214946,-5.49403180368,-35.0382307447,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,1,3,0,1,3
CHEMBL1214947,-6.14995394039,-33.043746755,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,1,3,0,1,3
CHEMBL1214948,-6.08974816042,-32.9513203518,2,3,2,2,2,3,2,3,2,0,2,3,2,3,2,4,2,1,2,1,3,0,1,3
CHEMBL1214949,-4.84182663653,-32.5726563691,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1214950,-5.57533952713,-31.9633790761,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,1,3,0,1,3
CHEMBL1215019,-6.85596466472,-33.0353356129,2,3,2,2,2,3,2,3,2,0,2,3,2,2,2,4,2,1,2,4,3,0,1,3
CHEMBL1215661,-7.67645162138,-4.3294348079,2,1,2,2,2,3,2,3,2,0,2,1,2,0,2,4,2,1,2,1,3,4,2,1
CHEMBL1215725,-32.4106653151,-22.9771159857,2,3,1,1,2,2,2,3,1,1,2,2,1,0,0,0,1,2,3,3,0,1,2,3
CHEMBL1215726,-9.43844688593,-26.2854296975,2,3,2,2,2,3,2,3,2,4,2,4,2,0,2,4,2,1,2,4,3,4,2,4
CHEMBL1215727,-9.15599064447,-27.1565787295,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,4,2,1,2,1,3,0,1,3
CHEMBL1215728,-8.04494961467,-26.1751950915,2,3,2,2,2,3,2,3,2,0,2,3,2,4,2,4,2,1,2,1,3,0,1,3
CHEMBL121744,26.2179576444,21.2051316149,2,3,1,1,1,2,0,1,0,1,3,1,2,3,1,0,2,1,2,2,1,0,3,2
CHEMBL1221,13.8888803073,12.9408886833,3,3,4,4,4,4,4,4,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4,1
CHEMBL1222552,31.2896022229,-35.4319786148,1,1,3,3,0,0,0,1,2,0,3,3,2,3,2,4,0,0,4,4,4,4,2,3
CHEMBL1222553,30.0705994118,-35.4716867301,3,1,3,3,1,3,0,1,2,0,3,3,2,4,2,4,0,0,4,4,4,4,2,3
CHEMBL1222554,30.9083051586,-42.9081184612,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222623,30.5251273151,-39.4354678546,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222624,29.9505939257,-34.9014578805,3,1,3,3,1,3,0,1,2,0,3,3,2,4,2,4,0,0,4,4,4,4,2,3
CHEMBL1222625,31.698372811,-35.4447104999,3,1,3,3,1,3,0,1,2,0,3,3,2,4,2,4,0,0,4,4,4,4,2,3
CHEMBL1222626,30.0031978481,-35.0399547348,3,1,3,3,1,3,0,1,2,0,3,3,2,4,2,4,0,0,4,4,4,4,2,3
CHEMBL1222692,29.5069424724,-34.9698487934,3,1,3,3,1,3,0,1,2,0,3,3,2,4,2,4,0,0,4,4,4,4,2,3
CHEMBL1222693,29.8441867372,-37.5645023489,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222694,29.9601257762,-37.3514537967,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222695,30.1714949177,-37.1818927093,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222762,30.4325564956,-37.6850529001,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222763,30.3693041983,-37.3612191498,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1222764,30.8351740207,-37.1038306393,3,1,3,3,1,3,0,1,2,0,3,3,2,0,2,4,0,0,4,4,4,4,2,3
CHEMBL1224031,-28.6159315705,-4.51760584371,3,0,3,4,4,3,4,2,1,4,2,1,0,3,1,2,0,2,4,1,2,3,2,1
CHEMBL1224032,-30.5749778102,-6.96456727779,3,0,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224033,-31.8834536149,-7.60751445426,3,0,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224034,-26.597417516,-4.35419218566,3,0,3,4,4,3,4,2,1,4,2,1,0,3,1,2,0,2,4,1,2,3,2,1
CHEMBL1224035,-25.6908040242,-3.44583307077,3,0,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224036,-31.1554676487,-3.99104723256,3,4,3,4,4,3,4,2,1,4,2,1,0,2,1,2,0,2,4,1,2,3,2,1
CHEMBL1224101,-29.8930016242,-2.54877058233,3,4,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224102,-29.5464922383,-1.15667741167,3,4,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224103,-29.8564486415,-2.44412704846,3,4,3,4,4,3,4,2,1,4,2,1,0,2,1,2,0,2,4,1,2,3,2,1
CHEMBL1224104,-29.8341914957,-2.51897507761,3,4,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224105,-30.1116887497,-4.79635424733,3,4,3,0,4,3,4,0,1,4,2,0,0,2,1,1,0,2,4,0,2,3,2,0
CHEMBL1224106,-30.3844147807,-3.34558881723,3,3,3,4,4,3,4,2,1,4,2,1,0,2,1,2,0,2,4,1,2,3,2,1
CHEMBL12264,45.5863904789,-14.6726677173,4,0,4,4,1,1,3,1,1,4,3,3,2,2,2,4,3,3,3,4,1,4,3,4
CHEMBL122761,23.1293363953,28.3290767603,3,1,2,3,1,1,0,1,1,0,4,3,2,4,2,4,2,2,2,2,3,1,4,4
CHEMBL12314,11.5021964521,-19.9400168625,4,1,0,3,1,1,3,0,2,4,0,1,2,0,2,0,4,4,0,1,2,0,1,1
CHEMBL12420,15.7124165596,-14.7777572869,1,1,0,0,3,3,1,0,3,2,0,0,3,2,4,1,4,3,0,0,4,3,0,0
CHEMBL1242923,43.407160633,12.1485376018,2,0,1,1,1,1,2,1,2,4,4,4,0,2,1,2,2,4,4,4,2,4,4,4
CHEMBL1242950,29.0863241968,31.8496609845,3,0,4,4,1,1,0,1,2,4,3,3,0,2,1,2,2,4,2,4,1,4,3,4
CHEMBL1255834,11.7185669057,-11.1295785096,3,2,4,4,4,3,1,2,3,4,4,4,4,1,4,3,4,4,4,4,4,4,4,4
